ent_station,ext_station,ent_time_period,riders_average_sunday
Addison Road,Addison Road,AM Peak,1.5
Addison Road,Anacostia,AM Peak,1.75
Addison Road,Archives-Navy Memorial,AM Peak,0.5
Addison Road,Ballston,AM Peak,2.25
Addison Road,Benning Road,AM Peak,4.5
Addison Road,Bethesda,AM Peak,2.5
Addison Road,Braddock Road,AM Peak,0.5
Addison Road,Branch Avenue,AM Peak,1.25
Addison Road,Brookland,AM Peak,1.75
Addison Road,Capitol Heights,AM Peak,0.75
Addison Road,Capitol South,AM Peak,0.25
Addison Road,Cheverly,AM Peak,1.25
Addison Road,Clarendon,AM Peak,0.25
Addison Road,College Park-U of MD,AM Peak,1.0
Addison Road,Columbia Heights,AM Peak,5.75
Addison Road,Court House,AM Peak,0.25
Addison Road,Crystal City,AM Peak,2.0
Addison Road,Dunn Loring,AM Peak,1.25
Addison Road,Dupont Circle,AM Peak,3.5
Addison Road,East Falls Church,AM Peak,0.25
Addison Road,Eastern Market,AM Peak,4.25
Addison Road,Eisenhower Avenue,AM Peak,0.5
Addison Road,Farragut West,AM Peak,4.25
Addison Road,Federal Center SW,AM Peak,1.5
Addison Road,Federal Triangle,AM Peak,0.75
Addison Road,Foggy Bottom,AM Peak,8.75
Addison Road,Forest Glen,AM Peak,0.5
Addison Road,Fort Totten,AM Peak,4.75
Addison Road,Franconia-Springfield,AM Peak,0.75
Addison Road,Friendship Heights,AM Peak,3.75
Addison Road,Gallery Place-Chinatown,AM Peak,2.5
Addison Road,Georgia Avenue-Petworth,AM Peak,1.5
Addison Road,Glenmont,AM Peak,0.5
Addison Road,Greenbelt,AM Peak,0.75
Addison Road,Huntington,AM Peak,0.5
Addison Road,Judiciary Square,AM Peak,0.25
Addison Road,King Street,AM Peak,1.0
Addison Road,Landover,AM Peak,0.25
Addison Road,Largo Town Center,AM Peak,11.75
Addison Road,L'Enfant Plaza,AM Peak,3.5
Addison Road,McPherson Square,AM Peak,5.0
Addison Road,Medical Center,AM Peak,1.25
Addison Road,Metro Center,AM Peak,7.25
Addison Road,Minnesota Avenue,AM Peak,1.0
Addison Road,Morgan Blvd.,AM Peak,2.25
Addison Road,Mt. Vernon Square-UDC,AM Peak,1.5
Addison Road,Navy Yard,AM Peak,2.25
Addison Road,Naylor Road,AM Peak,0.75
Addison Road,New Carrollton,AM Peak,7.5
Addison Road,New York Ave,AM Peak,0.5
Addison Road,Pentagon,AM Peak,1.75
Addison Road,Pentagon City,AM Peak,4.5
Addison Road,Potomac Avenue,AM Peak,2.0
Addison Road,Prince George's Plaza,AM Peak,0.75
Addison Road,Reagan Washington National Airport,AM Peak,2.75
Addison Road,Rhode Island Avenue,AM Peak,4.0
Addison Road,Rockville,AM Peak,0.25
Addison Road,Rosslyn,AM Peak,2.75
Addison Road,Shady Grove,AM Peak,1.25
Addison Road,Shaw-Howard University,AM Peak,1.75
Addison Road,Silver Spring,AM Peak,1.25
Addison Road,Smithsonian,AM Peak,6.25
Addison Road,Stadium-Armory,AM Peak,3.75
Addison Road,Suitland,AM Peak,0.25
Addison Road,Takoma,AM Peak,0.75
Addison Road,Tenleytown-AU,AM Peak,2.0
Addison Road,Twinbrook,AM Peak,1.75
Addison Road,U Street-Cardozo,AM Peak,1.5
Addison Road,Union Station,AM Peak,4.25
Addison Road,Van Dorn Street,AM Peak,0.5
Addison Road,Van Ness-UDC,AM Peak,0.75
Addison Road,Vienna,AM Peak,0.5
Addison Road,Virginia Square-GMU,AM Peak,0.25
Addison Road,Waterfront,AM Peak,1.75
Addison Road,West Falls Church,AM Peak,1.5
Addison Road,West Hyattsville,AM Peak,0.25
Addison Road,Wheaton,AM Peak,1.25
Addison Road,White Flint,AM Peak,1.5
Addison Road,Woodley Park-Zoo,AM Peak,1.75
Anacostia,Addison Road,AM Peak,2.5
Anacostia,Anacostia,AM Peak,5.0
Anacostia,Archives-Navy Memorial,AM Peak,8.5
Anacostia,Arlington Cemetery,AM Peak,1.5
Anacostia,Ballston,AM Peak,5.25
Anacostia,Benning Road,AM Peak,2.75
Anacostia,Bethesda,AM Peak,1.25
Anacostia,Braddock Road,AM Peak,2.75
Anacostia,Branch Avenue,AM Peak,12.75
Anacostia,Brookland,AM Peak,4.0
Anacostia,Capitol Heights,AM Peak,2.5
Anacostia,Capitol South,AM Peak,0.25
Anacostia,Clarendon,AM Peak,0.75
Anacostia,Cleveland Park,AM Peak,1.25
Anacostia,College Park-U of MD,AM Peak,1.0
Anacostia,Columbia Heights,AM Peak,27.0
Anacostia,Congress Heights,AM Peak,1.25
Anacostia,Crystal City,AM Peak,4.0
Anacostia,Deanwood,AM Peak,2.5
Anacostia,Dunn Loring,AM Peak,1.75
Anacostia,Dupont Circle,AM Peak,6.75
Anacostia,East Falls Church,AM Peak,2.0
Anacostia,Eastern Market,AM Peak,3.25
Anacostia,Eisenhower Avenue,AM Peak,0.25
Anacostia,Farragut North,AM Peak,7.75
Anacostia,Farragut West,AM Peak,3.75
Anacostia,Federal Triangle,AM Peak,0.5
Anacostia,Foggy Bottom,AM Peak,18.75
Anacostia,Fort Totten,AM Peak,17.75
Anacostia,Franconia-Springfield,AM Peak,4.5
Anacostia,Friendship Heights,AM Peak,3.25
Anacostia,Gallery Place-Chinatown,AM Peak,18.75
Anacostia,Georgia Avenue-Petworth,AM Peak,8.5
Anacostia,Glenmont,AM Peak,1.0
Anacostia,Greenbelt,AM Peak,1.75
Anacostia,Huntington,AM Peak,3.5
Anacostia,Judiciary Square,AM Peak,1.25
Anacostia,King Street,AM Peak,3.0
Anacostia,Landover,AM Peak,2.25
Anacostia,Largo Town Center,AM Peak,3.25
Anacostia,L'Enfant Plaza,AM Peak,11.0
Anacostia,McPherson Square,AM Peak,2.0
Anacostia,Medical Center,AM Peak,2.25
Anacostia,Metro Center,AM Peak,7.5
Anacostia,Minnesota Avenue,AM Peak,6.5
Anacostia,Morgan Blvd.,AM Peak,0.75
Anacostia,Mt. Vernon Square-UDC,AM Peak,10.5
Anacostia,Navy Yard,AM Peak,25.5
Anacostia,Naylor Road,AM Peak,4.5
Anacostia,New Carrollton,AM Peak,5.25
Anacostia,New York Ave,AM Peak,6.25
Anacostia,Pentagon,AM Peak,3.75
Anacostia,Pentagon City,AM Peak,9.75
Anacostia,Potomac Avenue,AM Peak,0.25
Anacostia,Prince George's Plaza,AM Peak,2.25
Anacostia,Reagan Washington National Airport,AM Peak,1.5
Anacostia,Rhode Island Avenue,AM Peak,17.75
Anacostia,Rockville,AM Peak,0.75
Anacostia,Rosslyn,AM Peak,2.25
Anacostia,Shady Grove,AM Peak,3.25
Anacostia,Shaw-Howard University,AM Peak,11.75
Anacostia,Silver Spring,AM Peak,6.25
Anacostia,Smithsonian,AM Peak,5.5
Anacostia,Southern Avenue,AM Peak,3.0
Anacostia,Stadium-Armory,AM Peak,1.75
Anacostia,Suitland,AM Peak,20.75
Anacostia,Takoma,AM Peak,2.75
Anacostia,Tenleytown-AU,AM Peak,4.25
Anacostia,Twinbrook,AM Peak,1.0
Anacostia,U Street-Cardozo,AM Peak,10.0
Anacostia,Union Station,AM Peak,10.0
Anacostia,Van Dorn Street,AM Peak,0.25
Anacostia,Van Ness-UDC,AM Peak,1.5
Anacostia,Virginia Square-GMU,AM Peak,1.25
Anacostia,Waterfront,AM Peak,16.0
Anacostia,West Falls Church,AM Peak,0.75
Anacostia,West Hyattsville,AM Peak,1.25
Anacostia,Wheaton,AM Peak,2.75
Anacostia,White Flint,AM Peak,1.0
Anacostia,Woodley Park-Zoo,AM Peak,4.0
Archives-Navy Memorial,Anacostia,AM Peak,3.0
Archives-Navy Memorial,Archives-Navy Memorial,AM Peak,0.25
Archives-Navy Memorial,Arlington Cemetery,AM Peak,1.0
Archives-Navy Memorial,Braddock Road,AM Peak,0.75
Archives-Navy Memorial,Branch Avenue,AM Peak,4.0
Archives-Navy Memorial,Brookland,AM Peak,0.75
Archives-Navy Memorial,Columbia Heights,AM Peak,2.5
Archives-Navy Memorial,Congress Heights,AM Peak,0.75
Archives-Navy Memorial,Court House,AM Peak,0.25
Archives-Navy Memorial,Crystal City,AM Peak,0.75
Archives-Navy Memorial,Dunn Loring,AM Peak,0.25
Archives-Navy Memorial,Eastern Market,AM Peak,5.0
Archives-Navy Memorial,Eisenhower Avenue,AM Peak,0.25
Archives-Navy Memorial,Farragut North,AM Peak,0.75
Archives-Navy Memorial,Foggy Bottom,AM Peak,1.5
Archives-Navy Memorial,Fort Totten,AM Peak,1.5
Archives-Navy Memorial,Franconia-Springfield,AM Peak,0.25
Archives-Navy Memorial,Gallery Place-Chinatown,AM Peak,0.25
Archives-Navy Memorial,Georgia Avenue-Petworth,AM Peak,1.0
Archives-Navy Memorial,Greenbelt,AM Peak,0.5
Archives-Navy Memorial,Huntington,AM Peak,0.75
Archives-Navy Memorial,King Street,AM Peak,2.75
Archives-Navy Memorial,Landover,AM Peak,0.25
Archives-Navy Memorial,L'Enfant Plaza,AM Peak,0.5
Archives-Navy Memorial,Metro Center,AM Peak,0.25
Archives-Navy Memorial,Minnesota Avenue,AM Peak,0.25
Archives-Navy Memorial,Mt. Vernon Square-UDC,AM Peak,0.75
Archives-Navy Memorial,Navy Yard,AM Peak,1.25
Archives-Navy Memorial,Naylor Road,AM Peak,0.75
Archives-Navy Memorial,New Carrollton,AM Peak,0.5
Archives-Navy Memorial,Pentagon,AM Peak,1.25
Archives-Navy Memorial,Pentagon City,AM Peak,0.75
Archives-Navy Memorial,Potomac Avenue,AM Peak,1.0
Archives-Navy Memorial,Prince George's Plaza,AM Peak,0.5
Archives-Navy Memorial,Reagan Washington National Airport,AM Peak,3.75
Archives-Navy Memorial,Rhode Island Avenue,AM Peak,0.5
Archives-Navy Memorial,Shady Grove,AM Peak,0.25
Archives-Navy Memorial,Shaw-Howard University,AM Peak,0.5
Archives-Navy Memorial,Silver Spring,AM Peak,1.25
Archives-Navy Memorial,Smithsonian,AM Peak,0.5
Archives-Navy Memorial,Southern Avenue,AM Peak,3.0
Archives-Navy Memorial,Suitland,AM Peak,2.0
Archives-Navy Memorial,Tenleytown-AU,AM Peak,0.5
Archives-Navy Memorial,U Street-Cardozo,AM Peak,0.75
Archives-Navy Memorial,Union Station,AM Peak,0.5
Archives-Navy Memorial,Waterfront,AM Peak,3.25
Archives-Navy Memorial,West Hyattsville,AM Peak,0.25
Archives-Navy Memorial,Wheaton,AM Peak,0.25
Arlington Cemetery,Anacostia,AM Peak,11.0
Arlington Cemetery,Arlington Cemetery,AM Peak,2.75
Arlington Cemetery,Ballston,AM Peak,0.5
Arlington Cemetery,Braddock Road,AM Peak,1.25
Arlington Cemetery,Clarendon,AM Peak,1.75
Arlington Cemetery,Crystal City,AM Peak,1.25
Arlington Cemetery,Eisenhower Avenue,AM Peak,0.25
Arlington Cemetery,Farragut West,AM Peak,0.25
Arlington Cemetery,Foggy Bottom,AM Peak,0.5
Arlington Cemetery,Franconia-Springfield,AM Peak,0.25
Arlington Cemetery,Gallery Place-Chinatown,AM Peak,0.5
Arlington Cemetery,Greenbelt,AM Peak,0.25
Arlington Cemetery,King Street,AM Peak,1.75
Arlington Cemetery,L'Enfant Plaza,AM Peak,1.0
Arlington Cemetery,Metro Center,AM Peak,1.25
Arlington Cemetery,Pentagon City,AM Peak,1.25
Arlington Cemetery,Reagan Washington National Airport,AM Peak,0.5
Arlington Cemetery,Rosslyn,AM Peak,1.0
Arlington Cemetery,Smithsonian,AM Peak,3.5
Ballston,Addison Road,AM Peak,0.5
Ballston,Anacostia,AM Peak,2.5
Ballston,Archives-Navy Memorial,AM Peak,0.25
Ballston,Arlington Cemetery,AM Peak,4.25
Ballston,Ballston,AM Peak,3.75
Ballston,Benning Road,AM Peak,0.5
Ballston,Bethesda,AM Peak,4.25
Ballston,Braddock Road,AM Peak,1.75
Ballston,Branch Avenue,AM Peak,3.25
Ballston,Brookland,AM Peak,1.75
Ballston,Capitol South,AM Peak,7.25
Ballston,Cheverly,AM Peak,0.75
Ballston,Clarendon,AM Peak,3.25
Ballston,Cleveland Park,AM Peak,2.75
Ballston,College Park-U of MD,AM Peak,0.25
Ballston,Columbia Heights,AM Peak,0.5
Ballston,Court House,AM Peak,2.5
Ballston,Crystal City,AM Peak,1.25
Ballston,Dunn Loring,AM Peak,5.5
Ballston,Dupont Circle,AM Peak,4.0
Ballston,East Falls Church,AM Peak,6.25
Ballston,Eastern Market,AM Peak,6.0
Ballston,Farragut West,AM Peak,19.25
Ballston,Federal Center SW,AM Peak,3.0
Ballston,Federal Triangle,AM Peak,22.25
Ballston,Foggy Bottom,AM Peak,28.0
Ballston,Fort Totten,AM Peak,1.5
Ballston,Franconia-Springfield,AM Peak,3.25
Ballston,Friendship Heights,AM Peak,6.5
Ballston,Gallery Place-Chinatown,AM Peak,4.5
Ballston,Georgia Avenue-Petworth,AM Peak,0.75
Ballston,Glenmont,AM Peak,1.0
Ballston,Greenbelt,AM Peak,0.5
Ballston,Huntington,AM Peak,1.75
Ballston,Judiciary Square,AM Peak,0.75
Ballston,King Street,AM Peak,2.75
Ballston,Landover,AM Peak,2.25
Ballston,Largo Town Center,AM Peak,0.75
Ballston,L'Enfant Plaza,AM Peak,2.75
Ballston,McPherson Square,AM Peak,6.5
Ballston,Metro Center,AM Peak,26.25
Ballston,Morgan Blvd.,AM Peak,0.25
Ballston,Mt. Vernon Square-UDC,AM Peak,1.5
Ballston,Navy Yard,AM Peak,0.5
Ballston,Naylor Road,AM Peak,1.0
Ballston,New Carrollton,AM Peak,2.25
Ballston,New York Ave,AM Peak,1.0
Ballston,Pentagon,AM Peak,1.25
Ballston,Pentagon City,AM Peak,2.5
Ballston,Potomac Avenue,AM Peak,0.5
Ballston,Prince George's Plaza,AM Peak,0.25
Ballston,Reagan Washington National Airport,AM Peak,8.75
Ballston,Rhode Island Avenue,AM Peak,0.5
Ballston,Rockville,AM Peak,2.75
Ballston,Rosslyn,AM Peak,10.75
Ballston,Shady Grove,AM Peak,1.75
Ballston,Shaw-Howard University,AM Peak,1.0
Ballston,Silver Spring,AM Peak,3.5
Ballston,Smithsonian,AM Peak,47.75
Ballston,Southern Avenue,AM Peak,3.0
Ballston,Stadium-Armory,AM Peak,0.25
Ballston,Suitland,AM Peak,1.5
Ballston,Takoma,AM Peak,0.5
Ballston,Tenleytown-AU,AM Peak,2.75
Ballston,Twinbrook,AM Peak,1.25
Ballston,U Street-Cardozo,AM Peak,0.75
Ballston,Union Station,AM Peak,11.0
Ballston,Van Dorn Street,AM Peak,2.0
Ballston,Van Ness-UDC,AM Peak,1.0
Ballston,Vienna,AM Peak,11.25
Ballston,Virginia Square-GMU,AM Peak,0.5
Ballston,Waterfront,AM Peak,0.25
Ballston,West Falls Church,AM Peak,5.0
Ballston,Wheaton,AM Peak,2.25
Ballston,White Flint,AM Peak,0.5
Ballston,Woodley Park-Zoo,AM Peak,4.5
Benning Road,Addison Road,AM Peak,9.25
Benning Road,Anacostia,AM Peak,2.25
Benning Road,Archives-Navy Memorial,AM Peak,2.75
Benning Road,Ballston,AM Peak,2.75
Benning Road,Benning Road,AM Peak,1.0
Benning Road,Bethesda,AM Peak,1.25
Benning Road,Braddock Road,AM Peak,1.5
Benning Road,Branch Avenue,AM Peak,1.5
Benning Road,Brookland,AM Peak,2.5
Benning Road,Capitol Heights,AM Peak,0.25
Benning Road,Capitol South,AM Peak,1.75
Benning Road,Cheverly,AM Peak,0.75
Benning Road,Cleveland Park,AM Peak,0.75
Benning Road,Columbia Heights,AM Peak,9.5
Benning Road,Congress Heights,AM Peak,2.25
Benning Road,Crystal City,AM Peak,4.25
Benning Road,Deanwood,AM Peak,0.5
Benning Road,Dupont Circle,AM Peak,4.25
Benning Road,East Falls Church,AM Peak,0.25
Benning Road,Eastern Market,AM Peak,5.5
Benning Road,Farragut North,AM Peak,1.25
Benning Road,Farragut West,AM Peak,4.75
Benning Road,Federal Center SW,AM Peak,3.25
Benning Road,Federal Triangle,AM Peak,2.75
Benning Road,Foggy Bottom,AM Peak,8.25
Benning Road,Forest Glen,AM Peak,0.25
Benning Road,Fort Totten,AM Peak,5.75
Benning Road,Franconia-Springfield,AM Peak,0.75
Benning Road,Friendship Heights,AM Peak,1.5
Benning Road,Gallery Place-Chinatown,AM Peak,6.0
Benning Road,Georgia Avenue-Petworth,AM Peak,1.75
Benning Road,Glenmont,AM Peak,0.25
Benning Road,Greenbelt,AM Peak,0.5
Benning Road,Huntington,AM Peak,0.25
Benning Road,King Street,AM Peak,1.0
Benning Road,Landover,AM Peak,0.5
Benning Road,Largo Town Center,AM Peak,5.25
Benning Road,L'Enfant Plaza,AM Peak,3.5
Benning Road,McPherson Square,AM Peak,3.0
Benning Road,Medical Center,AM Peak,0.5
Benning Road,Metro Center,AM Peak,6.75
Benning Road,Morgan Blvd.,AM Peak,2.25
Benning Road,Mt. Vernon Square-UDC,AM Peak,1.5
Benning Road,Navy Yard,AM Peak,4.25
Benning Road,Naylor Road,AM Peak,0.5
Benning Road,New Carrollton,AM Peak,4.5
Benning Road,New York Ave,AM Peak,3.25
Benning Road,Pentagon,AM Peak,2.0
Benning Road,Pentagon City,AM Peak,3.75
Benning Road,Potomac Avenue,AM Peak,4.5
Benning Road,Prince George's Plaza,AM Peak,1.25
Benning Road,Reagan Washington National Airport,AM Peak,2.75
Benning Road,Rhode Island Avenue,AM Peak,6.5
Benning Road,Rosslyn,AM Peak,2.0
Benning Road,Shady Grove,AM Peak,2.0
Benning Road,Shaw-Howard University,AM Peak,2.25
Benning Road,Silver Spring,AM Peak,3.25
Benning Road,Smithsonian,AM Peak,6.5
Benning Road,Southern Avenue,AM Peak,2.5
Benning Road,Stadium-Armory,AM Peak,4.25
Benning Road,Suitland,AM Peak,0.75
Benning Road,Takoma,AM Peak,0.75
Benning Road,Tenleytown-AU,AM Peak,2.25
Benning Road,Twinbrook,AM Peak,0.25
Benning Road,U Street-Cardozo,AM Peak,5.75
Benning Road,Union Station,AM Peak,1.75
Benning Road,Van Dorn Street,AM Peak,0.75
Benning Road,Van Ness-UDC,AM Peak,4.0
Benning Road,Virginia Square-GMU,AM Peak,0.25
Benning Road,Waterfront,AM Peak,3.75
Benning Road,West Falls Church,AM Peak,2.5
Benning Road,West Hyattsville,AM Peak,1.0
Benning Road,Wheaton,AM Peak,2.5
Benning Road,Woodley Park-Zoo,AM Peak,1.25
Bethesda,Addison Road,AM Peak,0.5
Bethesda,Anacostia,AM Peak,0.75
Bethesda,Archives-Navy Memorial,AM Peak,0.75
Bethesda,Arlington Cemetery,AM Peak,4.0
Bethesda,Ballston,AM Peak,0.5
Bethesda,Bethesda,AM Peak,2.75
Bethesda,Braddock Road,AM Peak,0.5
Bethesda,Branch Avenue,AM Peak,0.25
Bethesda,Brookland,AM Peak,1.25
Bethesda,Capitol Heights,AM Peak,0.75
Bethesda,Capitol South,AM Peak,0.5
Bethesda,Cheverly,AM Peak,0.25
Bethesda,Clarendon,AM Peak,0.25
Bethesda,Cleveland Park,AM Peak,2.75
Bethesda,College Park-U of MD,AM Peak,1.0
Bethesda,Columbia Heights,AM Peak,0.5
Bethesda,Court House,AM Peak,0.5
Bethesda,Crystal City,AM Peak,0.25
Bethesda,Dupont Circle,AM Peak,19.25
Bethesda,Eastern Market,AM Peak,2.75
Bethesda,Farragut North,AM Peak,12.0
Bethesda,Federal Center SW,AM Peak,0.75
Bethesda,Federal Triangle,AM Peak,4.75
Bethesda,Foggy Bottom,AM Peak,3.75
Bethesda,Fort Totten,AM Peak,0.75
Bethesda,Franconia-Springfield,AM Peak,1.5
Bethesda,Friendship Heights,AM Peak,9.75
Bethesda,Gallery Place-Chinatown,AM Peak,5.75
Bethesda,Georgia Avenue-Petworth,AM Peak,1.25
Bethesda,Greenbelt,AM Peak,0.25
Bethesda,Grosvenor,AM Peak,3.25
Bethesda,Huntington,AM Peak,1.75
Bethesda,Judiciary Square,AM Peak,7.75
Bethesda,King Street,AM Peak,1.0
Bethesda,Largo Town Center,AM Peak,0.75
Bethesda,L'Enfant Plaza,AM Peak,0.25
Bethesda,McPherson Square,AM Peak,0.75
Bethesda,Metro Center,AM Peak,34.0
Bethesda,Mt. Vernon Square-UDC,AM Peak,0.25
Bethesda,Navy Yard,AM Peak,0.25
Bethesda,Naylor Road,AM Peak,0.5
Bethesda,New York Ave,AM Peak,3.25
Bethesda,Pentagon,AM Peak,0.25
Bethesda,Pentagon City,AM Peak,0.75
Bethesda,Reagan Washington National Airport,AM Peak,10.75
Bethesda,Rhode Island Avenue,AM Peak,1.25
Bethesda,Rockville,AM Peak,3.75
Bethesda,Rosslyn,AM Peak,0.5
Bethesda,Shady Grove,AM Peak,7.75
Bethesda,Shaw-Howard University,AM Peak,0.5
Bethesda,Smithsonian,AM Peak,18.0
Bethesda,Southern Avenue,AM Peak,0.25
Bethesda,Suitland,AM Peak,1.0
Bethesda,Takoma,AM Peak,0.5
Bethesda,Tenleytown-AU,AM Peak,9.75
Bethesda,Twinbrook,AM Peak,1.5
Bethesda,U Street-Cardozo,AM Peak,1.5
Bethesda,Union Station,AM Peak,22.5
Bethesda,Van Dorn Street,AM Peak,0.25
Bethesda,Van Ness-UDC,AM Peak,2.75
Bethesda,Vienna,AM Peak,1.0
Bethesda,Virginia Square-GMU,AM Peak,3.5
Bethesda,Waterfront,AM Peak,0.75
Bethesda,West Falls Church,AM Peak,0.75
Bethesda,Wheaton,AM Peak,0.25
Bethesda,White Flint,AM Peak,3.0
Bethesda,Woodley Park-Zoo,AM Peak,9.75
Braddock Road,Addison Road,AM Peak,0.75
Braddock Road,Anacostia,AM Peak,0.75
Braddock Road,Archives-Navy Memorial,AM Peak,15.25
Braddock Road,Arlington Cemetery,AM Peak,4.5
Braddock Road,Ballston,AM Peak,1.0
Braddock Road,Benning Road,AM Peak,1.25
Braddock Road,Bethesda,AM Peak,1.0
Braddock Road,Braddock Road,AM Peak,1.75
Braddock Road,Branch Avenue,AM Peak,1.25
Braddock Road,Brookland,AM Peak,0.75
Braddock Road,Capitol Heights,AM Peak,0.25
Braddock Road,Cheverly,AM Peak,0.75
Braddock Road,Clarendon,AM Peak,0.75
Braddock Road,Cleveland Park,AM Peak,1.75
Braddock Road,Columbia Heights,AM Peak,1.25
Braddock Road,Congress Heights,AM Peak,0.25
Braddock Road,Court House,AM Peak,0.25
Braddock Road,Crystal City,AM Peak,4.0
Braddock Road,Dunn Loring,AM Peak,0.25
Braddock Road,Dupont Circle,AM Peak,2.75
Braddock Road,East Falls Church,AM Peak,0.5
Braddock Road,Eastern Market,AM Peak,2.75
Braddock Road,Eisenhower Avenue,AM Peak,2.75
Braddock Road,Farragut North,AM Peak,0.5
Braddock Road,Farragut West,AM Peak,6.0
Braddock Road,Federal Triangle,AM Peak,5.75
Braddock Road,Foggy Bottom,AM Peak,5.75
Braddock Road,Fort Totten,AM Peak,0.75
Braddock Road,Franconia-Springfield,AM Peak,3.75
Braddock Road,Friendship Heights,AM Peak,1.0
Braddock Road,Gallery Place-Chinatown,AM Peak,3.75
Braddock Road,Georgia Avenue-Petworth,AM Peak,0.5
Braddock Road,Greenbelt,AM Peak,0.5
Braddock Road,Huntington,AM Peak,8.5
Braddock Road,King Street,AM Peak,6.25
Braddock Road,L'Enfant Plaza,AM Peak,12.0
Braddock Road,McPherson Square,AM Peak,2.5
Braddock Road,Medical Center,AM Peak,1.0
Braddock Road,Metro Center,AM Peak,2.25
Braddock Road,Minnesota Avenue,AM Peak,0.25
Braddock Road,Morgan Blvd.,AM Peak,1.0
Braddock Road,Mt. Vernon Square-UDC,AM Peak,1.0
Braddock Road,Navy Yard,AM Peak,2.0
Braddock Road,Naylor Road,AM Peak,1.25
Braddock Road,New Carrollton,AM Peak,1.0
Braddock Road,New York Ave,AM Peak,0.25
Braddock Road,Pentagon,AM Peak,3.0
Braddock Road,Pentagon City,AM Peak,4.25
Braddock Road,Potomac Avenue,AM Peak,0.5
Braddock Road,Reagan Washington National Airport,AM Peak,8.75
Braddock Road,Rhode Island Avenue,AM Peak,0.75
Braddock Road,Rockville,AM Peak,0.25
Braddock Road,Rosslyn,AM Peak,5.25
Braddock Road,Shady Grove,AM Peak,0.75
Braddock Road,Shaw-Howard University,AM Peak,0.5
Braddock Road,Silver Spring,AM Peak,2.0
Braddock Road,Smithsonian,AM Peak,21.75
Braddock Road,Southern Avenue,AM Peak,0.75
Braddock Road,Stadium-Armory,AM Peak,0.25
Braddock Road,Suitland,AM Peak,0.5
Braddock Road,Takoma,AM Peak,1.0
Braddock Road,Tenleytown-AU,AM Peak,0.25
Braddock Road,U Street-Cardozo,AM Peak,1.25
Braddock Road,Union Station,AM Peak,17.75
Braddock Road,Van Dorn Street,AM Peak,3.5
Braddock Road,Van Ness-UDC,AM Peak,0.25
Braddock Road,Vienna,AM Peak,0.5
Braddock Road,Virginia Square-GMU,AM Peak,1.25
Braddock Road,West Falls Church,AM Peak,0.25
Braddock Road,Wheaton,AM Peak,1.25
Braddock Road,Woodley Park-Zoo,AM Peak,1.75
Branch Avenue,Addison Road,AM Peak,2.0
Branch Avenue,Anacostia,AM Peak,5.5
Branch Avenue,Archives-Navy Memorial,AM Peak,15.25
Branch Avenue,Arlington Cemetery,AM Peak,5.0
Branch Avenue,Ballston,AM Peak,3.5
Branch Avenue,Benning Road,AM Peak,0.25
Branch Avenue,Bethesda,AM Peak,1.75
Branch Avenue,Braddock Road,AM Peak,0.25
Branch Avenue,Branch Avenue,AM Peak,1.75
Branch Avenue,Brookland,AM Peak,0.75
Branch Avenue,Capitol Heights,AM Peak,0.25
Branch Avenue,Capitol South,AM Peak,1.5
Branch Avenue,Clarendon,AM Peak,0.25
Branch Avenue,Cleveland Park,AM Peak,2.25
Branch Avenue,College Park-U of MD,AM Peak,0.5
Branch Avenue,Columbia Heights,AM Peak,4.0
Branch Avenue,Congress Heights,AM Peak,1.5
Branch Avenue,Crystal City,AM Peak,1.25
Branch Avenue,Deanwood,AM Peak,0.25
Branch Avenue,Dunn Loring,AM Peak,1.25
Branch Avenue,Dupont Circle,AM Peak,2.75
Branch Avenue,East Falls Church,AM Peak,0.5
Branch Avenue,Eastern Market,AM Peak,2.0
Branch Avenue,Eisenhower Avenue,AM Peak,0.25
Branch Avenue,Farragut North,AM Peak,0.5
Branch Avenue,Farragut West,AM Peak,2.75
Branch Avenue,Federal Triangle,AM Peak,16.5
Branch Avenue,Foggy Bottom,AM Peak,6.0
Branch Avenue,Fort Totten,AM Peak,6.75
Branch Avenue,Franconia-Springfield,AM Peak,1.0
Branch Avenue,Friendship Heights,AM Peak,2.5
Branch Avenue,Gallery Place-Chinatown,AM Peak,13.5
Branch Avenue,Georgia Avenue-Petworth,AM Peak,2.0
Branch Avenue,Greenbelt,AM Peak,1.0
Branch Avenue,Huntington,AM Peak,1.25
Branch Avenue,Judiciary Square,AM Peak,0.25
Branch Avenue,King Street,AM Peak,0.75
Branch Avenue,Largo Town Center,AM Peak,1.0
Branch Avenue,L'Enfant Plaza,AM Peak,13.75
Branch Avenue,McPherson Square,AM Peak,3.75
Branch Avenue,Medical Center,AM Peak,1.0
Branch Avenue,Metro Center,AM Peak,6.25
Branch Avenue,Minnesota Avenue,AM Peak,0.5
Branch Avenue,Mt. Vernon Square-UDC,AM Peak,3.0
Branch Avenue,Navy Yard,AM Peak,5.5
Branch Avenue,Naylor Road,AM Peak,3.0
Branch Avenue,New Carrollton,AM Peak,1.75
Branch Avenue,New York Ave,AM Peak,1.25
Branch Avenue,Pentagon,AM Peak,2.0
Branch Avenue,Pentagon City,AM Peak,5.0
Branch Avenue,Prince George's Plaza,AM Peak,1.75
Branch Avenue,Reagan Washington National Airport,AM Peak,3.25
Branch Avenue,Rhode Island Avenue,AM Peak,1.25
Branch Avenue,Rockville,AM Peak,0.75
