ent_station,ext_station,riders_average_weekday_late_night
East Falls Church,Columbia Heights,0.375
East Falls Church,Congress Heights,0.125
East Falls Church,Court House,2.0
East Falls Church,Crystal City,0.875
East Falls Church,Deanwood,0.375
East Falls Church,Dunn Loring,4.0
East Falls Church,Dupont Circle,0.25
East Falls Church,East Falls Church,2.75
East Falls Church,Eisenhower Avenue,0.25
East Falls Church,Farragut West,1.5
East Falls Church,Federal Center SW,0.25
East Falls Church,Federal Triangle,0.125
East Falls Church,Foggy Bottom,1.0
East Falls Church,Fort Totten,0.375
East Falls Church,Franconia-Springfield,0.125
East Falls Church,Friendship Heights,0.25
East Falls Church,Gallery Place-Chinatown,0.375
East Falls Church,Georgia Avenue-Petworth,0.375
East Falls Church,Grosvenor,0.125
East Falls Church,Huntington,0.5
East Falls Church,McPherson Square,1.625
East Falls Church,Metro Center,1.75
East Falls Church,Navy Yard,0.125
East Falls Church,Naylor Road,0.125
East Falls Church,New York Ave,0.25
East Falls Church,Pentagon,0.125
East Falls Church,Pentagon City,0.375
East Falls Church,Potomac Avenue,0.25
East Falls Church,Prince George's Plaza,0.125
East Falls Church,Reagan Washington National Airport,0.25
East Falls Church,Rosslyn,1.75
East Falls Church,Shady Grove,0.375
East Falls Church,Shaw-Howard University,0.125
East Falls Church,Silver Spring,0.125
East Falls Church,Stadium-Armory,0.375
East Falls Church,Suitland,0.125
East Falls Church,Takoma,0.375
East Falls Church,Tenleytown-AU,0.125
East Falls Church,U Street-Cardozo,0.25
East Falls Church,Union Station,1.0
East Falls Church,Van Dorn Street,0.375
East Falls Church,Van Ness-UDC,0.125
East Falls Church,Vienna,3.25
East Falls Church,Virginia Square-GMU,0.375
East Falls Church,Waterfront,0.25
East Falls Church,West Falls Church,1.375
East Falls Church,Wheaton,0.25
East Falls Church,White Flint,0.125
East Falls Church,Woodley Park-Zoo,0.375
Eastern Market,Addison Road,5.625
Eastern Market,Anacostia,0.625
Eastern Market,Archives-Navy Memorial,0.25
Eastern Market,Ballston,6.375
Eastern Market,Benning Road,3.125
Eastern Market,Bethesda,1.5
Eastern Market,Braddock Road,0.875
Eastern Market,Branch Avenue,1.0
Eastern Market,Brookland,1.5
Eastern Market,Capitol Heights,1.625
Eastern Market,Capitol South,0.75
Eastern Market,Cheverly,1.125
Eastern Market,Clarendon,2.5
Eastern Market,Cleveland Park,0.875
Eastern Market,College Park-U of MD,0.875
Eastern Market,Columbia Heights,15.625
Eastern Market,Congress Heights,0.25
Eastern Market,Court House,6.375
Eastern Market,Crystal City,5.125
Eastern Market,Deanwood,0.75
Eastern Market,Dunn Loring,1.5
Eastern Market,Dupont Circle,4.375
Eastern Market,East Falls Church,2.875
Eastern Market,Eastern Market,3.25
Eastern Market,Eisenhower Avenue,1.0
Eastern Market,Farragut West,2.0
Eastern Market,Federal Center SW,1.0
Eastern Market,Federal Triangle,0.625
Eastern Market,Foggy Bottom,7.625
Eastern Market,Forest Glen,0.25
Eastern Market,Fort Totten,4.25
Eastern Market,Franconia-Springfield,2.0
Eastern Market,Friendship Heights,1.5
Eastern Market,Gallery Place-Chinatown,1.125
Eastern Market,Georgia Avenue-Petworth,3.0
Eastern Market,Glenmont,1.5
Eastern Market,Greenbelt,1.25
Eastern Market,Grosvenor,0.75
Eastern Market,Huntington,1.625
Eastern Market,Judiciary Square,0.125
Eastern Market,King Street,1.5
Eastern Market,L'Enfant Plaza,3.125
Eastern Market,Landover,3.25
Eastern Market,Largo Town Center,2.375
Eastern Market,McPherson Square,4.5
Eastern Market,Medical Center,0.125
Eastern Market,Metro Center,9.75
Eastern Market,Minnesota Avenue,3.375
Eastern Market,Morgan Blvd.,0.5
Eastern Market,Mt. Vernon Square-UDC,1.875
Eastern Market,Navy Yard,0.125
Eastern Market,Naylor Road,0.25
Eastern Market,New Carrollton,5.0
Eastern Market,New York Ave,1.125
Eastern Market,Pentagon,1.0
Eastern Market,Pentagon City,3.375
Eastern Market,Potomac Avenue,2.0
Eastern Market,Prince George's Plaza,1.0
Eastern Market,Reagan Washington National Airport,0.375
Eastern Market,Rhode Island Avenue,1.375
Eastern Market,Rockville,0.125
Eastern Market,Rosslyn,7.0
Eastern Market,Shady Grove,2.25
Eastern Market,Shaw-Howard University,1.375
Eastern Market,Silver Spring,4.0
Eastern Market,Smithsonian,0.625
Eastern Market,Southern Avenue,0.125
Eastern Market,Stadium-Armory,2.875
Eastern Market,Suitland,0.875
Eastern Market,Takoma,1.25
Eastern Market,Tenleytown-AU,1.375
Eastern Market,Twinbrook,1.5
Eastern Market,U Street-Cardozo,1.625
Eastern Market,Union Station,0.125
Eastern Market,Van Dorn Street,1.75
Eastern Market,Van Ness-UDC,2.0
Eastern Market,Vienna,4.875
Eastern Market,Virginia Square-GMU,2.375
Eastern Market,Waterfront,0.375
Eastern Market,West Falls Church,1.75
Eastern Market,West Hyattsville,1.25
Eastern Market,Wheaton,0.5
Eastern Market,White Flint,0.875
Eastern Market,Woodley Park-Zoo,1.875
Eisenhower Avenue,Addison Road,2.0
Eisenhower Avenue,Anacostia,2.875
Eisenhower Avenue,Ballston,0.25
Eisenhower Avenue,Benning Road,0.5
Eisenhower Avenue,Braddock Road,2.125
Eisenhower Avenue,Branch Avenue,1.25
Eisenhower Avenue,Brookland,0.75
Eisenhower Avenue,Capitol Heights,1.0
Eisenhower Avenue,Cheverly,0.125
Eisenhower Avenue,Clarendon,0.25
Eisenhower Avenue,College Park-U of MD,0.125
Eisenhower Avenue,Columbia Heights,1.5
Eisenhower Avenue,Congress Heights,0.5
Eisenhower Avenue,Court House,0.25
Eisenhower Avenue,Crystal City,1.875
Eisenhower Avenue,Deanwood,0.125
Eisenhower Avenue,Dupont Circle,0.25
Eisenhower Avenue,Eastern Market,0.125
Eisenhower Avenue,Eisenhower Avenue,1.5
Eisenhower Avenue,Fort Totten,0.5
Eisenhower Avenue,Franconia-Springfield,0.125
Eisenhower Avenue,Friendship Heights,0.125
Eisenhower Avenue,Gallery Place-Chinatown,1.0
Eisenhower Avenue,Georgia Avenue-Petworth,1.125
Eisenhower Avenue,Glenmont,0.125
Eisenhower Avenue,Huntington,14.5
Eisenhower Avenue,King Street,3.25
Eisenhower Avenue,L'Enfant Plaza,0.125
Eisenhower Avenue,Largo Town Center,0.25
Eisenhower Avenue,McPherson Square,0.375
Eisenhower Avenue,Minnesota Avenue,1.5
Eisenhower Avenue,Mt. Vernon Square-UDC,0.125
Eisenhower Avenue,Naylor Road,1.75
Eisenhower Avenue,New Carrollton,0.625
Eisenhower Avenue,New York Ave,0.125
Eisenhower Avenue,Pentagon,0.5
Eisenhower Avenue,Pentagon City,2.0
Eisenhower Avenue,Reagan Washington National Airport,0.5
Eisenhower Avenue,Rhode Island Avenue,0.375
Eisenhower Avenue,Rosslyn,0.375
Eisenhower Avenue,Shaw-Howard University,0.875
Eisenhower Avenue,Silver Spring,0.125
Eisenhower Avenue,Southern Avenue,1.125
Eisenhower Avenue,Stadium-Armory,0.125
Eisenhower Avenue,Suitland,0.875
Eisenhower Avenue,U Street-Cardozo,1.125
Eisenhower Avenue,Union Station,0.5
Eisenhower Avenue,Van Dorn Street,1.5
Eisenhower Avenue,Vienna,0.125
Eisenhower Avenue,Waterfront,0.375
Eisenhower Avenue,West Hyattsville,0.375
Eisenhower Avenue,Wheaton,0.125
Eisenhower Avenue,Woodley Park-Zoo,0.25
Farragut North,Addison Road,0.625
Farragut North,Anacostia,2.75
Farragut North,Archives-Navy Memorial,0.25
Farragut North,Ballston,6.375
Farragut North,Benning Road,0.75
Farragut North,Bethesda,31.25
Farragut North,Braddock Road,0.75
Farragut North,Branch Avenue,1.875
Farragut North,Brookland,11.875
Farragut North,Capitol Heights,0.375
Farragut North,Capitol South,1.0
Farragut North,Cheverly,0.25
Farragut North,Clarendon,1.875
Farragut North,Cleveland Park,11.0
Farragut North,College Park-U of MD,4.875
Farragut North,Columbia Heights,5.375
Farragut North,Congress Heights,1.625
Farragut North,Court House,1.875
Farragut North,Crystal City,2.625
Farragut North,Deanwood,0.375
Farragut North,Dunn Loring,1.75
Farragut North,Dupont Circle,2.875
Farragut North,East Falls Church,2.0
Farragut North,Eastern Market,1.25
Farragut North,Eisenhower Avenue,2.375
Farragut North,Farragut North,18.5
Farragut North,Federal Triangle,0.125
Farragut North,Foggy Bottom,0.375
Farragut North,Forest Glen,4.375
Farragut North,Fort Totten,30.5
Farragut North,Franconia-Springfield,2.375
Farragut North,Friendship Heights,18.0
Farragut North,Gallery Place-Chinatown,12.25
Farragut North,Georgia Avenue-Petworth,7.125
Farragut North,Glenmont,15.75
Farragut North,Greenbelt,3.875
Farragut North,Grosvenor,30.375
Farragut North,Huntington,4.5
Farragut North,Judiciary Square,2.625
Farragut North,King Street,1.875
Farragut North,L'Enfant Plaza,0.25
Farragut North,Landover,0.625
Farragut North,Largo Town Center,0.375
Farragut North,McPherson Square,0.25
Farragut North,Medical Center,2.875
Farragut North,Metro Center,2.375
Farragut North,Minnesota Avenue,0.5
Farragut North,Morgan Blvd.,0.5
Farragut North,Mt. Vernon Square-UDC,1.75
Farragut North,Navy Yard,0.625
Farragut North,Naylor Road,3.375
Farragut North,New Carrollton,2.375
Farragut North,New York Ave,12.75
Farragut North,Pentagon,0.625
Farragut North,Pentagon City,3.5
Farragut North,Potomac Avenue,0.5
Farragut North,Prince George's Plaza,5.5
Farragut North,Reagan Washington National Airport,0.25
Farragut North,Rhode Island Avenue,6.375
Farragut North,Rockville,14.75
Farragut North,Rosslyn,3.125
Farragut North,Shady Grove,35.0
Farragut North,Shaw-Howard University,2.0
Farragut North,Silver Spring,45.625
Farragut North,Southern Avenue,2.75
Farragut North,Stadium-Armory,0.375
Farragut North,Suitland,1.875
Farragut North,Takoma,13.75
Farragut North,Tenleytown-AU,10.625
Farragut North,Twinbrook,13.625
Farragut North,U Street-Cardozo,3.625
Farragut North,Union Station,18.25
Farragut North,Van Dorn Street,2.0
Farragut North,Van Ness-UDC,14.25
Farragut North,Vienna,6.125
Farragut North,Virginia Square-GMU,0.125
Farragut North,Waterfront,1.625
Farragut North,West Falls Church,2.0
Farragut North,West Hyattsville,6.375
Farragut North,Wheaton,11.375
Farragut North,White Flint,13.375
Farragut North,Woodley Park-Zoo,11.625
Farragut West,Addison Road,2.25
Farragut West,Anacostia,1.375
Farragut West,Archives-Navy Memorial,0.125
Farragut West,Ballston,52.0
Farragut West,Benning Road,2.375
Farragut West,Bethesda,0.375
Farragut West,Braddock Road,8.375
Farragut West,Branch Avenue,0.875
Farragut West,Brookland,0.5
Farragut West,Capitol Heights,1.375
Farragut West,Capitol South,5.375
Farragut West,Cheverly,0.5
Farragut West,Clarendon,22.5
Farragut West,Cleveland Park,0.25
Farragut West,College Park-U of MD,1.25
Farragut West,Columbia Heights,1.625
Farragut West,Congress Heights,0.75
Farragut West,Court House,37.75
Farragut West,Crystal City,18.75
Farragut West,Deanwood,1.25
Farragut West,Dunn Loring,23.25
Farragut West,East Falls Church,31.5
Farragut West,Eastern Market,11.375
Farragut West,Eisenhower Avenue,0.125
Farragut West,Farragut West,12.375
Farragut West,Federal Center SW,3.125
Farragut West,Federal Triangle,0.125
Farragut West,Foggy Bottom,2.0
Farragut West,Forest Glen,0.25
Farragut West,Fort Totten,3.75
Farragut West,Franconia-Springfield,16.375
Farragut West,Friendship Heights,0.125
Farragut West,Gallery Place-Chinatown,1.25
Farragut West,Georgia Avenue-Petworth,1.0
Farragut West,Glenmont,0.125
Farragut West,Greenbelt,0.75
Farragut West,Grosvenor,1.375
Farragut West,Huntington,8.75
Farragut West,King Street,10.25
Farragut West,L'Enfant Plaza,2.75
Farragut West,Landover,2.375
Farragut West,Largo Town Center,4.25
Farragut West,McPherson Square,0.5
Farragut West,Medical Center,0.75
Farragut West,Metro Center,2.125
Farragut West,Minnesota Avenue,1.25
Farragut West,Morgan Blvd.,0.75
Farragut West,Mt. Vernon Square-UDC,0.25
Farragut West,Navy Yard,0.625
Farragut West,Naylor Road,0.75
Farragut West,New Carrollton,9.875
Farragut West,New York Ave,0.5
Farragut West,Pentagon,4.625
Farragut West,Pentagon City,25.0
Farragut West,Potomac Avenue,8.375
Farragut West,Prince George's Plaza,1.25
Farragut West,Reagan Washington National Airport,0.125
Farragut West,Rockville,0.625
Farragut West,Rosslyn,40.125
Farragut West,Shady Grove,1.875
Farragut West,Shaw-Howard University,2.25
Farragut West,Silver Spring,2.125
Farragut West,Smithsonian,0.25
Farragut West,Southern Avenue,0.875
Farragut West,Stadium-Armory,3.25
Farragut West,Suitland,2.375
Farragut West,Takoma,0.5
Farragut West,Tenleytown-AU,0.25
Farragut West,Twinbrook,0.75
Farragut West,U Street-Cardozo,1.25
Farragut West,Union Station,0.25
Farragut West,Van Dorn Street,11.375
Farragut West,Vienna,40.375
Farragut West,Virginia Square-GMU,18.375
Farragut West,Waterfront,1.375
Farragut West,West Falls Church,20.875
Farragut West,West Hyattsville,0.375
Farragut West,Wheaton,0.625
Farragut West,White Flint,0.5
Farragut West,Woodley Park-Zoo,1.375
Federal Center SW,Anacostia,0.375
Federal Center SW,Ballston,1.625
Federal Center SW,Benning Road,0.75
Federal Center SW,Capitol Heights,1.0
Federal Center SW,Clarendon,0.625
Federal Center SW,Cleveland Park,0.125
Federal Center SW,Columbia Heights,0.125
Federal Center SW,Court House,0.625
Federal Center SW,Crystal City,0.25
Federal Center SW,Dunn Loring,0.5
Federal Center SW,Dupont Circle,0.125
Federal Center SW,East Falls Church,0.625
Federal Center SW,Eastern Market,0.5
Federal Center SW,Farragut West,0.125
Federal Center SW,Federal Center SW,0.25
Federal Center SW,Foggy Bottom,0.375
Federal Center SW,Gallery Place-Chinatown,0.125
Federal Center SW,Glenmont,0.125
Federal Center SW,Huntington,0.5
Federal Center SW,King Street,0.25
Federal Center SW,Landover,0.375
Federal Center SW,Largo Town Center,0.5
Federal Center SW,McPherson Square,0.25
Federal Center SW,Metro Center,0.625
Federal Center SW,Minnesota Avenue,0.125
Federal Center SW,Morgan Blvd.,0.125
Federal Center SW,New Carrollton,0.875
Federal Center SW,Pentagon City,0.375
Federal Center SW,Potomac Avenue,0.75
Federal Center SW,Prince George's Plaza,0.125
Federal Center SW,Rockville,0.125
Federal Center SW,Rosslyn,1.0
Federal Center SW,Shady Grove,0.125
Federal Center SW,Silver Spring,0.125
Federal Center SW,Smithsonian,0.125
Federal Center SW,Stadium-Armory,0.625
Federal Center SW,Twinbrook,0.375
Federal Center SW,Union Station,0.375
Federal Center SW,Van Dorn Street,0.125
Federal Center SW,Vienna,0.75
Federal Center SW,Virginia Square-GMU,0.375
Federal Center SW,West Falls Church,0.125
Federal Center SW,Woodley Park-Zoo,0.125
Federal Triangle,Addison Road,0.75
Federal Triangle,Anacostia,0.25
Federal Triangle,Archives-Navy Memorial,0.125
Federal Triangle,Ballston,1.75
Federal Triangle,Benning Road,0.875
Federal Triangle,Bethesda,0.625
Federal Triangle,Braddock Road,0.125
Federal Triangle,Branch Avenue,0.5
Federal Triangle,Brookland,0.75
Federal Triangle,Capitol Heights,0.875
Federal Triangle,Capitol South,0.125
Federal Triangle,Cheverly,0.125
Federal Triangle,Clarendon,1.25
Federal Triangle,College Park-U of MD,2.0
Federal Triangle,Columbia Heights,0.375
Federal Triangle,Court House,2.25
Federal Triangle,Crystal City,0.875
Federal Triangle,Deanwood,1.0
Federal Triangle,Dunn Loring,1.25
Federal Triangle,Dupont Circle,0.75
Federal Triangle,East Falls Church,0.75
Federal Triangle,Eastern Market,0.75
Federal Triangle,Eisenhower Avenue,0.375
Federal Triangle,Farragut West,0.375
Federal Triangle,Federal Center SW,0.125
Federal Triangle,Federal Triangle,0.75
Federal Triangle,Foggy Bottom,1.125
Federal Triangle,Fort Totten,0.875
Federal Triangle,Franconia-Springfield,1.25
Federal Triangle,Friendship Heights,0.5
Federal Triangle,Gallery Place-Chinatown,0.25
Federal Triangle,Georgia Avenue-Petworth,0.25
Federal Triangle,Glenmont,0.375
Federal Triangle,Greenbelt,0.25
Federal Triangle,Grosvenor,0.125
Federal Triangle,Huntington,0.375
Federal Triangle,King Street,0.625
Federal Triangle,L'Enfant Plaza,0.25
Federal Triangle,Landover,1.625
Federal Triangle,Largo Town Center,4.0
Federal Triangle,McPherson Square,0.5
Federal Triangle,Metro Center,0.5
Federal Triangle,Minnesota Avenue,1.125
Federal Triangle,Morgan Blvd.,0.875
Federal Triangle,Mt. Vernon Square-UDC,0.25
Federal Triangle,Navy Yard,0.5
Federal Triangle,Naylor Road,0.5
Federal Triangle,New Carrollton,0.5
Federal Triangle,New York Ave,0.5
Federal Triangle,Pentagon,0.625
Federal Triangle,Pentagon City,1.125
Federal Triangle,Potomac Avenue,0.75
Federal Triangle,Prince George's Plaza,0.25
Federal Triangle,Rhode Island Avenue,0.125
Federal Triangle,Rosslyn,2.125
Federal Triangle,Shady Grove,0.5
Federal Triangle,Shaw-Howard University,0.125
Federal Triangle,Silver Spring,0.125
Federal Triangle,Southern Avenue,1.0
Federal Triangle,Stadium-Armory,0.625
Federal Triangle,Suitland,0.75
Federal Triangle,Takoma,0.25
Federal Triangle,Tenleytown-AU,0.5
Federal Triangle,Twinbrook,0.375
Federal Triangle,U Street-Cardozo,0.125
Federal Triangle,Van Dorn Street,1.0
Federal Triangle,Vienna,2.25
Federal Triangle,Virginia Square-GMU,0.5
Federal Triangle,West Falls Church,0.875
Federal Triangle,West Hyattsville,0.625
Federal Triangle,Wheaton,0.125
Federal Triangle,Woodley Park-Zoo,0.875
Foggy Bottom,Addison Road,0.5
Foggy Bottom,Anacostia,7.125
Foggy Bottom,Ballston,33.25
Foggy Bottom,Benning Road,6.875
Foggy Bottom,Bethesda,3.875
Foggy Bottom,Braddock Road,6.375
Foggy Bottom,Branch Avenue,3.125
Foggy Bottom,Brookland,5.5
Foggy Bottom,Capitol Heights,1.125
Foggy Bottom,Capitol South,5.5
Foggy Bottom,Cheverly,2.75
Foggy Bottom,Clarendon,14.75
Foggy Bottom,Cleveland Park,1.625
Foggy Bottom,College Park-U of MD,1.625
Foggy Bottom,Columbia Heights,7.625
Foggy Bottom,Congress Heights,1.375
Foggy Bottom,Court House,25.875
Foggy Bottom,Crystal City,26.0
Foggy Bottom,Deanwood,1.25
Foggy Bottom,Dunn Loring,9.25
Foggy Bottom,Dupont Circle,1.625
Foggy Bottom,East Falls Church,17.625
Foggy Bottom,Eastern Market,7.625
Foggy Bottom,Eisenhower Avenue,1.25
Foggy Bottom,Farragut West,1.875
Foggy Bottom,Federal Center SW,2.375
Foggy Bottom,Federal Triangle,0.5
Foggy Bottom,Foggy Bottom,11.5
Foggy Bottom,Forest Glen,0.75
Foggy Bottom,Fort Totten,17.875
Foggy Bottom,Franconia-Springfield,16.625
Foggy Bottom,Friendship Heights,3.25
Foggy Bottom,Gallery Place-Chinatown,4.75
Foggy Bottom,Georgia Avenue-Petworth,9.25
Foggy Bottom,Glenmont,7.75
Foggy Bottom,Greenbelt,1.75
Foggy Bottom,Grosvenor,3.5
Foggy Bottom,Huntington,7.75
Foggy Bottom,King Street,10.75
Foggy Bottom,L'Enfant Plaza,2.875
Foggy Bottom,Landover,1.375
Foggy Bottom,Largo Town Center,2.625
Foggy Bottom,McPherson Square,7.375
Foggy Bottom,Medical Center,0.5
Foggy Bottom,Metro Center,9.125
Foggy Bottom,Minnesota Avenue,4.25
Foggy Bottom,Morgan Blvd.,1.0
Foggy Bottom,Mt. Vernon Square-UDC,1.5
Foggy Bottom,Navy Yard,1.0
Foggy Bottom,Naylor Road,1.625
Foggy Bottom,New Carrollton,7.75
Foggy Bottom,New York Ave,3.75
Foggy Bottom,Pentagon,5.875
Foggy Bottom,Pentagon City,34.375
Foggy Bottom,Potomac Avenue,6.25
Foggy Bottom,Prince George's Plaza,2.25
Foggy Bottom,Reagan Washington National Airport,0.875
Foggy Bottom,Rhode Island Avenue,2.125
Foggy Bottom,Rockville,0.875
Foggy Bottom,Rosslyn,25.75
Foggy Bottom,Shady Grove,5.625
Foggy Bottom,Shaw-Howard University,2.75
Foggy Bottom,Silver Spring,13.0
Foggy Bottom,Smithsonian,0.5
Foggy Bottom,Southern Avenue,2.875
Foggy Bottom,Stadium-Armory,3.75
Foggy Bottom,Suitland,2.5
Foggy Bottom,Takoma,3.875
Foggy Bottom,Tenleytown-AU,5.375
Foggy Bottom,Twinbrook,1.75
Foggy Bottom,U Street-Cardozo,5.125
Foggy Bottom,Union Station,5.5
Foggy Bottom,Van Dorn Street,5.875
Foggy Bottom,Van Ness-UDC,2.875
Foggy Bottom,Vienna,28.375
Foggy Bottom,Virginia Square-GMU,10.5
Foggy Bottom,Waterfront,2.5
Foggy Bottom,West Falls Church,8.0
Foggy Bottom,West Hyattsville,2.375
Foggy Bottom,Wheaton,3.75
Foggy Bottom,White Flint,1.625
Foggy Bottom,Woodley Park-Zoo,2.75
Forest Glen,Archives-Navy Memorial,0.125
Forest Glen,Ballston,0.25
Forest Glen,Brookland,0.625
Forest Glen,Capitol Heights,0.125
Forest Glen,Clarendon,0.5
Forest Glen,College Park-U of MD,0.25
Forest Glen,Columbia Heights,0.125
Forest Glen,Dupont Circle,0.75
Forest Glen,Farragut North,0.25
Forest Glen,Foggy Bottom,0.25
Forest Glen,Forest Glen,1.75
Forest Glen,Fort Totten,0.375
Forest Glen,Friendship Heights,0.375
Forest Glen,Gallery Place-Chinatown,0.625
Forest Glen,Georgia Avenue-Petworth,0.25
Forest Glen,Glenmont,1.25
Forest Glen,Greenbelt,0.25
Forest Glen,Huntington,0.125
Forest Glen,Metro Center,0.375
Forest Glen,Naylor Road,0.125
Forest Glen,New York Ave,0.25
Forest Glen,Pentagon City,0.375
Forest Glen,Rhode Island Avenue,0.125
Forest Glen,Shady Grove,0.125
Forest Glen,Silver Spring,1.0
Forest Glen,Takoma,0.25
Forest Glen,Union Station,0.125
Forest Glen,West Hyattsville,0.125
Forest Glen,Wheaton,1.125
Forest Glen,Woodley Park-Zoo,0.375
Fort Totten,Addison Road,1.25
Fort Totten,Anacostia,6.75
Fort Totten,Archives-Navy Memorial,0.125
Fort Totten,Ballston,0.375
Fort Totten,Benning Road,2.125
Fort Totten,Bethesda,0.5
Fort Totten,Braddock Road,0.25
Fort Totten,Branch Avenue,1.5
Fort Totten,Brookland,4.5
Fort Totten,Capitol Heights,1.375
Fort Totten,Cheverly,0.25
Fort Totten,College Park-U of MD,1.0
Fort Totten,Columbia Heights,13.625
Fort Totten,Congress Heights,2.0
Fort Totten,Court House,0.125
Fort Totten,Crystal City,0.25
Fort Totten,Deanwood,0.875
Fort Totten,Dunn Loring,0.125
Fort Totten,Dupont Circle,2.125
Fort Totten,Eastern Market,0.375
Fort Totten,Farragut North,2.125
Fort Totten,Farragut West,0.25
Fort Totten,Foggy Bottom,2.75
Fort Totten,Forest Glen,2.75
Fort Totten,Fort Totten,8.625
Fort Totten,Franconia-Springfield,0.375
Fort Totten,Gallery Place-Chinatown,6.125
Fort Totten,Georgia Avenue-Petworth,6.125
Fort Totten,Glenmont,4.375
Fort Totten,Greenbelt,1.875
Fort Totten,Grosvenor,0.25
Fort Totten,Huntington,0.375
Fort Totten,L'Enfant Plaza,0.5
Fort Totten,Landover,1.125
Fort Totten,Largo Town Center,0.875
Fort Totten,McPherson Square,0.5
Fort Totten,Medical Center,0.125
Fort Totten,Metro Center,0.625
Fort Totten,Minnesota Avenue,1.25
Fort Totten,Morgan Blvd.,0.5
Fort Totten,Mt. Vernon Square-UDC,3.375
Fort Totten,Navy Yard,0.25
Fort Totten,Naylor Road,2.75
Fort Totten,New Carrollton,0.875
Fort Totten,New York Ave,5.0
Fort Totten,Pentagon,0.125
Fort Totten,Pentagon City,0.75
Fort Totten,Potomac Avenue,1.625
Fort Totten,Prince George's Plaza,2.0
Fort Totten,Reagan Washington National Airport,0.375
Fort Totten,Rhode Island Avenue,6.0
Fort Totten,Rockville,0.375
Fort Totten,Shady Grove,1.875
Fort Totten,Shaw-Howard University,10.5
Fort Totten,Silver Spring,9.0
Fort Totten,Southern Avenue,5.625
Fort Totten,Stadium-Armory,0.625
Fort Totten,Suitland,4.0
Fort Totten,Takoma,3.125
Fort Totten,Tenleytown-AU,0.75
Fort Totten,Twinbrook,0.25
Fort Totten,U Street-Cardozo,21.125
Fort Totten,Union Station,2.75
Fort Totten,Van Dorn Street,0.125
Fort Totten,Van Ness-UDC,0.5
Fort Totten,Vienna,0.125
Fort Totten,Waterfront,2.0
Fort Totten,West Falls Church,0.125
Fort Totten,West Hyattsville,5.125
Fort Totten,Wheaton,3.25
Fort Totten,Woodley Park-Zoo,1.875
Franconia-Springfield,Addison Road,0.625
Franconia-Springfield,Anacostia,0.375
Franconia-Springfield,Ballston,0.125
Franconia-Springfield,Benning Road,0.375
Franconia-Springfield,Braddock Road,0.125
Franconia-Springfield,Branch Avenue,0.5
Franconia-Springfield,Capitol South,0.125
Franconia-Springfield,Cleveland Park,0.125
Franconia-Springfield,Court House,0.625
Franconia-Springfield,Crystal City,0.625
Franconia-Springfield,Dupont Circle,0.25
Franconia-Springfield,East Falls Church,0.375
Franconia-Springfield,Eastern Market,0.375
Franconia-Springfield,Farragut West,0.75
Franconia-Springfield,Federal Triangle,0.125
Franconia-Springfield,Foggy Bottom,0.875
Franconia-Springfield,Fort Totten,0.75
Franconia-Springfield,Franconia-Springfield,4.5
Franconia-Springfield,Friendship Heights,0.125
Franconia-Springfield,Gallery Place-Chinatown,1.25
Franconia-Springfield,Glenmont,0.375
Franconia-Springfield,Huntington,1.5
Franconia-Springfield,King Street,1.125
Franconia-Springfield,L'Enfant Plaza,0.125
Franconia-Springfield,Landover,1.375
Franconia-Springfield,Largo Town Center,0.375
Franconia-Springfield,McPherson Square,1.0
Franconia-Springfield,Metro Center,1.625
Franconia-Springfield,Minnesota Avenue,0.5
Franconia-Springfield,Mt. Vernon Square-UDC,0.125
Franconia-Springfield,Navy Yard,0.125
Franconia-Springfield,Naylor Road,0.375
Franconia-Springfield,New Carrollton,0.125
Franconia-Springfield,New York Ave,0.5
Franconia-Springfield,Pentagon,0.375
Franconia-Springfield,Pentagon City,1.125
Franconia-Springfield,Potomac Avenue,0.125
Franconia-Springfield,Reagan Washington National Airport,1.125
Franconia-Springfield,Rhode Island Avenue,0.125
Franconia-Springfield,Rockville,0.375
Franconia-Springfield,Rosslyn,1.25
Franconia-Springfield,Shady Grove,0.75
Franconia-Springfield,Shaw-Howard University,0.125
Franconia-Springfield,Silver Spring,0.625
Franconia-Springfield,Stadium-Armory,0.375
Franconia-Springfield,Suitland,0.125
Franconia-Springfield,Takoma,0.125
Franconia-Springfield,Tenleytown-AU,0.125
Franconia-Springfield,U Street-Cardozo,0.375
Franconia-Springfield,Union Station,0.25
Franconia-Springfield,Van Dorn Street,0.5
Franconia-Springfield,Vienna,0.375
Franconia-Springfield,Virginia Square-GMU,0.125
Franconia-Springfield,West Hyattsville,0.125
Franconia-Springfield,White Flint,0.125
Friendship Heights,Addison Road,1.0
Friendship Heights,Anacostia,1.75
Friendship Heights,Ballston,0.75
Friendship Heights,Benning Road,0.25
Friendship Heights,Bethesda,13.875
Friendship Heights,Braddock Road,0.375
Friendship Heights,Branch Avenue,0.5
Friendship Heights,Brookland,2.625
Friendship Heights,Capitol Heights,0.25
Friendship Heights,Capitol South,0.375
Friendship Heights,Clarendon,0.125
Friendship Heights,Cleveland Park,2.5
Friendship Heights,College Park-U of MD,0.5
Friendship Heights,Columbia Heights,0.875
Friendship Heights,Congress Heights,0.625
Friendship Heights,Court House,0.125
Friendship Heights,Crystal City,0.25
Friendship Heights,Dunn Loring,0.5
Friendship Heights,Dupont Circle,6.625
Friendship Heights,East Falls Church,0.75
Friendship Heights,Eastern Market,1.25
Friendship Heights,Eisenhower Avenue,0.125
