ent_station,ext_station,riders_average_weekday_late_night,trip_length
addison road,addison road,1.625,0
addison road,anacostia,0.875,11
addison road,archives,0.125,9
addison road,ballston-mu,0.125,15
addison road,benning road,1.875,2
addison road,braddock road,0.125,14
addison road,branch avenue,0.5,16
addison road,brookland cua,0.125,15
addison road,capitol heights,1.375,1
addison road,clarendon,0.125,13
addison road,congress heights,0.75,12
addison road,crystal city,0.125,11
addison road,deanwood,0.125,5
addison road,eastern market,0.875,5
addison road,fort totten,0.25,16
addison road,franconia springfield,0.125,17
addison road,gallery place,0.25,10
addison road,georgia avenue petworth,0.375,15
addison road,glenmont,0.125,21
addison road,king street old town,0.5,15
addison road,l'enfant plaza,0.125,8
addison road,landover,0.5,7
addison road,largo,2.125,2
addison road,mcpherson square,0.125,12
addison road,metro center,0.25,11
addison road,morgan boulevard,1.25,1
addison road,mount vernon square,0.125,11
addison road,navy yard ballpark,0.125,10
addison road,naylor road,0.75,14
addison road,new carrollton,0.625,8
addison road,noma gallaudet u,0.25,13
addison road,pentagon,0.25,9
addison road,pentagon city,0.25,10
addison road,potomac avenue,1.75,4
addison road,hyattsville crossing,0.375,18
addison road,national airport,0.25,12
addison road,rhode island avenue,0.875,14
addison road,shady grove,0.875,25
addison road,shaw howard university,0.25,12
addison road,silver spring,0.125,18
addison road,southern avenue,0.5,13
addison road,stadium armory,1.375,3
addison road,suitland,0.625,15
addison road,takoma,0.125,17
addison road,tenleytown au,0.125,17
addison road,u street,0.125,13
addison road,union station,0.125,12
addison road,waterfront,0.125,9
anacostia,addison road,0.75,11
anacostia,anacostia,7.375,0
anacostia,archives,0.625,4
anacostia,ballston-mu,0.25,10
anacostia,benning road,1.5,9
anacostia,braddock road,0.375,9
anacostia,branch avenue,2.75,5
anacostia,brookland cua,1.625,10
anacostia,capitol heights,1.375,10
anacostia,capitol south,0.125,5
anacostia,college park university of maryland,0.5,14
anacostia,columbia heights,6.125,9
anacostia,congress heights,3.5,1
anacostia,court house,0.125,7
anacostia,crystal city,0.125,6
anacostia,deanwood,1.0,10
anacostia,dupont circle,0.375,8
anacostia,east falls church,0.25,11
anacostia,farragut west,0.375,8
anacostia,federal center sw,0.125,4
anacostia,foggy bottom gwu,0.625,7
anacostia,fort totten,4.25,11
anacostia,gallery place,7.5,5
anacostia,georgia avenue petworth,4.5,10
anacostia,glenmont,0.625,16
anacostia,greenbelt,0.375,15
anacostia,huntington,0.625,12
anacostia,judiciary square,0.125,6
anacostia,king street old town,0.25,10
anacostia,l'enfant plaza,0.375,3
anacostia,landover,1.0,12
anacostia,largo,0.75,13
anacostia,metro center,0.25,6
anacostia,minnesota avenue,3.125,9
anacostia,morgan boulevard,0.25,12
anacostia,mount vernon square,0.625,6
anacostia,navy yard ballpark,2.625,1
anacostia,naylor road,4.375,3
anacostia,new carrollton,1.0,13
anacostia,noma gallaudet u,2.875,8
anacostia,pentagon,0.375,4
anacostia,pentagon city,0.375,5
anacostia,potomac avenue,0.375,7
anacostia,hyattsville crossing,0.125,13
anacostia,national airport,0.375,7
anacostia,rhode island avenue,2.25,9
anacostia,rockville,0.125,19
anacostia,shaw howard university,2.125,7
anacostia,silver spring,0.625,13
anacostia,southern avenue,2.375,2
anacostia,stadium armory,1.125,8
anacostia,suitland,7.75,4
anacostia,takoma,0.125,12
anacostia,u street,4.25,8
anacostia,union station,0.875,7
anacostia,waterfront,2.125,2
anacostia,west hyattsville,0.5,12
anacostia,wheaton,0.125,15
anacostia,woodley park,0.875,9
archives,anacostia,4.75,4
archives,archives,5.625,0
archives,ballston-mu,1.5,8
archives,benning road,1.625,7
archives,bethesda,0.25,10
archives,braddock road,0.75,7
archives,branch avenue,1.625,9
archives,capitol heights,0.5,8
archives,capitol south,0.375,3
archives,cheverly,0.5,9
archives,cleveland park,0.625,6
archives,college park university of maryland,1.875,10
archives,columbia heights,14.0,5
archives,congress heights,2.0,5
archives,court house,0.875,5
archives,crystal city,5.125,4
archives,deanwood,0.375,8
archives,dunn loring,0.125,11
archives,dupont circle,0.75,4
archives,east falls church,0.625,9
archives,eastern market,2.125,4
archives,eisenhower avenue,1.5,9
archives,farragut north,0.25,3
archives,farragut west,0.25,4
archives,federal center sw,0.125,2
archives,foggy bottom gwu,0.25,5
archives,fort totten,5.875,7
archives,franconia springfield,2.0,10
archives,friendship heights,0.125,9
archives,gallery place,0.25,1
archives,georgia avenue petworth,6.375,6
archives,greenbelt,2.5,11
archives,huntington,6.125,10
archives,king street old town,3.0,8
archives,l'enfant plaza,0.375,1
archives,landover,0.125,10
archives,largo,0.875,11
archives,mcpherson square,0.125,3
archives,metro center,0.375,2
archives,minnesota avenue,0.625,7
archives,morgan boulevard,0.25,10
archives,mount vernon square,2.75,2
archives,navy yard ballpark,3.625,3
archives,naylor road,2.0,7
archives,new carrollton,1.0,11
archives,noma gallaudet u,1.125,4
archives,pentagon,1.5,2
archives,pentagon city,9.25,3
archives,potomac avenue,1.0,5
archives,hyattsville crossing,2.625,9
archives,national airport,0.625,5
archives,rosslyn,0.5,4
archives,shady grove,0.5,16
archives,shaw howard university,1.125,3
archives,silver spring,1.0,9
archives,southern avenue,2.625,6
archives,stadium armory,0.75,6
archives,suitland,2.125,8
archives,takoma,0.25,8
archives,tenleytown au,0.125,8
archives,u street,3.875,4
archives,union station,2.125,3
archives,van dorn street,1.375,9
archives,van ness udc,0.25,7
archives,vienna,0.125,12
archives,virginia square gmu,0.25,7
archives,waterfront,4.875,2
archives,west falls church,0.375,10
archives,west hyattsville,3.625,8
archives,wheaton,0.375,11
ballston-mu,anacostia,2.5,10
ballston-mu,ballston-mu,7.375,0
ballston-mu,benning road,1.875,13
ballston-mu,bethesda,0.375,16
ballston-mu,braddock road,0.875,11
ballston-mu,branch avenue,0.125,15
ballston-mu,brookland cua,0.625,14
ballston-mu,capitol heights,0.375,14
ballston-mu,capitol south,0.5,9
ballston-mu,cheverly,0.625,15
ballston-mu,clarendon,7.0,2
ballston-mu,cleveland park,1.0,12
ballston-mu,columbia heights,2.0,13
ballston-mu,congress heights,0.125,11
ballston-mu,court house,7.875,3
ballston-mu,crystal city,1.375,8
ballston-mu,deanwood,0.25,14
ballston-mu,dunn loring,12.125,3
ballston-mu,dupont circle,0.75,10
ballston-mu,east falls church,13.625,1
ballston-mu,eastern market,1.75,10
ballston-mu,eisenhower avenue,0.25,13
ballston-mu,farragut west,3.875,6
ballston-mu,federal center sw,0.5,8
ballston-mu,foggy bottom gwu,10.25,5
ballston-mu,forest glen,1.25,18
ballston-mu,fort totten,1.125,15
ballston-mu,franconia springfield,2.125,14
ballston-mu,friendship heights,1.0,15
ballston-mu,gallery place,1.625,9
ballston-mu,georgia avenue petworth,1.125,14
ballston-mu,glenmont,0.375,20
ballston-mu,grosvenor strathmore,0.5,18
ballston-mu,huntington,1.625,14
ballston-mu,judiciary square,0.125,10
ballston-mu,king street old town,3.375,12
ballston-mu,l'enfant plaza,0.375,7
ballston-mu,landover,1.5,16
ballston-mu,largo,0.125,17
ballston-mu,mcpherson square,8.875,7
ballston-mu,metro center,4.5,8
ballston-mu,minnesota avenue,1.0,13
ballston-mu,mount vernon square,0.125,10
ballston-mu,navy yard ballpark,0.125,9
ballston-mu,naylor road,1.125,13
ballston-mu,new carrollton,1.25,17
ballston-mu,noma gallaudet u,1.25,12
ballston-mu,pentagon,0.125,6
ballston-mu,pentagon city,0.875,7
ballston-mu,potomac avenue,0.625,11
ballston-mu,national airport,0.375,9
ballston-mu,rhode island avenue,0.125,13
ballston-mu,rockville,0.125,21
ballston-mu,rosslyn,4.75,4
ballston-mu,shady grove,0.875,22
ballston-mu,shaw howard university,0.625,11
ballston-mu,silver spring,2.0,17
ballston-mu,southern avenue,0.125,12
ballston-mu,stadium armory,0.875,12
ballston-mu,suitland,0.625,14
ballston-mu,takoma,0.625,16
ballston-mu,tenleytown au,0.5,14
ballston-mu,twinbrook,0.5,20
ballston-mu,u street,1.75,12
ballston-mu,union station,2.5,11
ballston-mu,van dorn street,1.25,13
ballston-mu,van ness udc,0.375,13
ballston-mu,vienna,16.5,4
ballston-mu,waterfront,1.0,8
ballston-mu,west falls church,8.875,2
ballston-mu,west hyattsville,0.25,16
ballston-mu,wheaton,0.125,19
ballston-mu,north bethesda,0.625,19
ballston-mu,woodley park,1.25,11
benning road,addison road,3.5,2
benning road,anacostia,1.375,9
benning road,archives,0.125,7
benning road,ballston-mu,0.125,13
benning road,benning road,2.375,0
benning road,braddock road,0.375,12
benning road,branch avenue,0.25,14
benning road,brookland cua,1.0,13
benning road,capitol heights,1.125,1
benning road,college park university of maryland,0.125,17
benning road,columbia heights,1.875,12
benning road,congress heights,0.625,10
benning road,dupont circle,0.25,11
benning road,eastern market,0.875,3
benning road,farragut west,0.25,11
benning road,federal center sw,0.125,5
benning road,federal triangle,0.125,8
benning road,foggy bottom gwu,0.125,10
benning road,fort totten,1.25,14
benning road,franconia springfield,0.125,15
benning road,gallery place,0.75,8
benning road,georgia avenue petworth,1.625,13
benning road,greenbelt,0.125,18
benning road,huntington,0.125,15
benning road,l'enfant plaza,0.125,6
benning road,landover,0.125,5
benning road,largo,0.625,4
benning road,mcpherson square,0.125,10
benning road,metro center,0.125,9
benning road,minnesota avenue,0.125,2
benning road,morgan boulevard,1.25,3
benning road,mount vernon square,0.75,9
benning road,navy yard ballpark,0.375,8
benning road,naylor road,0.875,12
benning road,new carrollton,0.5,6
benning road,noma gallaudet u,0.5,11
benning road,pentagon,0.375,7
benning road,pentagon city,1.125,8
benning road,potomac avenue,1.875,2
benning road,hyattsville crossing,0.125,16
benning road,rhode island avenue,1.375,12
benning road,rosslyn,0.625,9
benning road,shady grove,0.125,23
benning road,shaw howard university,0.375,10
benning road,silver spring,0.25,16
benning road,southern avenue,1.875,11
benning road,stadium armory,2.5,1
benning road,suitland,0.75,13
benning road,takoma,0.625,15
benning road,u street,2.0,11
benning road,union station,0.125,10
benning road,vienna,0.125,17
benning road,waterfront,0.25,7
benning road,west hyattsville,0.125,15
benning road,wheaton,0.25,18
benning road,north bethesda,0.125,20
bethesda,addison road,0.25,19
bethesda,archives,0.125,10
bethesda,ballston-mu,1.125,16
bethesda,benning road,0.125,17
bethesda,bethesda,4.75,0
bethesda,braddock road,0.125,17
bethesda,branch avenue,0.625,19
bethesda,brookland cua,0.5,14
bethesda,capitol heights,0.75,18
bethesda,capitol south,0.25,13
bethesda,cheverly,0.25,19
bethesda,clarendon,0.375,14
bethesda,cleveland park,5.125,4
bethesda,college park university of maryland,0.5,18
bethesda,columbia heights,1.0,13
bethesda,congress heights,0.375,15
bethesda,court house,0.75,13
bethesda,crystal city,0.875,14
bethesda,deanwood,0.25,18
bethesda,dupont circle,16.625,6
bethesda,east falls church,0.375,17
bethesda,eastern market,1.375,14
bethesda,farragut north,4.5,7
bethesda,federal center sw,0.5,12
bethesda,foggy bottom gwu,1.125,11
bethesda,forest glen,0.25,18
bethesda,fort totten,2.25,15
bethesda,franconia springfield,0.75,20
bethesda,friendship heights,8.625,1
bethesda,gallery place,4.0,9
bethesda,georgia avenue petworth,1.0,14
bethesda,glenmont,1.25,20
bethesda,greenbelt,0.5,19
bethesda,grosvenor strathmore,28.75,2
bethesda,huntington,1.125,20
bethesda,judiciary square,0.25,10
bethesda,king street old town,1.25,18
bethesda,landover,0.25,20
bethesda,medical center,1.875,1
bethesda,metro center,1.875,8
bethesda,mount vernon square,0.75,10
bethesda,navy yard ballpark,0.5,13
bethesda,naylor road,0.125,17
bethesda,new carrollton,0.375,21
bethesda,noma gallaudet u,0.75,12
bethesda,pentagon,0.875,12
bethesda,pentagon city,2.0,13
bethesda,potomac avenue,0.25,15
bethesda,hyattsville crossing,0.125,17
bethesda,national airport,0.25,15
bethesda,rhode island avenue,0.375,13
bethesda,rockville,16.125,5
bethesda,rosslyn,1.375,12
bethesda,shady grove,39.875,6
bethesda,shaw howard university,0.25,11
bethesda,silver spring,2.125,17
bethesda,stadium armory,0.375,16
bethesda,takoma,0.875,16
bethesda,tenleytown au,18.25,2
bethesda,twinbrook,24.0,4
bethesda,u street,1.875,12
bethesda,union station,2.75,11
bethesda,van dorn street,0.125,19
bethesda,van ness udc,5.875,3
bethesda,vienna,1.0,20
bethesda,virginia square gmu,0.25,15
bethesda,waterfront,1.625,12
bethesda,west falls church,0.5,18
bethesda,west hyattsville,0.125,16
bethesda,wheaton,0.5,19
bethesda,north bethesda,16.0,3
bethesda,woodley park,12.0,5
braddock road,addison road,0.25,14
braddock road,anacostia,0.625,9
braddock road,archives,0.125,7
braddock road,ballston-mu,0.5,11
braddock road,benning road,0.375,12
braddock road,bethesda,0.375,17
braddock road,braddock road,1.125,0
braddock road,branch avenue,0.5,14
braddock road,capitol heights,0.125,13
braddock road,capitol south,0.25,8
braddock road,clarendon,0.25,9
braddock road,college park university of maryland,0.125,17
braddock road,columbia heights,1.625,12
braddock road,court house,0.25,8
braddock road,crystal city,1.25,3
braddock road,dunn loring,0.125,14
braddock road,dupont circle,0.5,11
braddock road,east falls church,0.5,12
braddock road,eastern market,0.125,9
braddock road,eisenhower avenue,0.125,2
braddock road,farragut west,0.25,9
braddock road,foggy bottom gwu,1.375,8
braddock road,fort totten,0.625,14
braddock road,franconia springfield,2.0,3
braddock road,friendship heights,0.125,16
braddock road,gallery place,0.5,8
braddock road,georgia avenue petworth,0.125,13
braddock road,greenbelt,0.25,18
braddock road,huntington,5.5,3
braddock road,king street old town,0.625,1
braddock road,l'enfant plaza,0.125,6
braddock road,landover,0.25,15
braddock road,largo,0.375,16
braddock road,metro center,0.25,9
braddock road,minnesota avenue,0.625,12
braddock road,mount vernon square,1.0,9
braddock road,navy yard ballpark,0.375,8
braddock road,naylor road,0.125,12
braddock road,new carrollton,0.25,16
braddock road,noma gallaudet u,0.375,11
braddock road,pentagon,0.625,5
braddock road,pentagon city,0.875,4
braddock road,potomac avenue,0.5,10
braddock road,national airport,0.125,2
braddock road,rosslyn,0.875,7
braddock road,shady grove,0.125,23
braddock road,shaw howard university,0.875,10
braddock road,silver spring,0.25,16
braddock road,smithsonian,0.75,7
braddock road,southern avenue,0.125,11
braddock road,stadium armory,0.625,11
braddock road,suitland,0.375,13
braddock road,takoma,0.375,15
braddock road,tenleytown au,0.125,15
braddock road,u street,0.875,11
braddock road,union station,0.375,10
braddock road,van dorn street,2.5,2
braddock road,van ness udc,0.25,14
braddock road,vienna,0.75,15
braddock road,virginia square gmu,0.125,10
braddock road,waterfront,0.25,7
braddock road,west hyattsville,0.375,15
braddock road,wheaton,1.0,18
braddock road,woodley park,0.375,12
branch avenue,anacostia,1.75,5
branch avenue,archives,0.25,9
branch avenue,benning road,0.125,14
branch avenue,braddock road,0.375,14
branch avenue,branch avenue,1.75,0
branch avenue,cleveland park,0.25,15
branch avenue,college park university of maryland,0.125,19
branch avenue,columbia heights,0.375,14
branch avenue,congress heights,0.125,4
branch avenue,deanwood,0.125,15
branch avenue,dupont circle,0.25,13
branch avenue,eastern market,0.125,11
branch avenue,farragut north,0.125,12
branch avenue,foggy bottom gwu,0.125,12
branch avenue,fort totten,1.75,16
branch avenue,gallery place,2.0,10
branch avenue,georgia avenue petworth,1.125,15
branch avenue,glenmont,0.125,21
branch avenue,greenbelt,0.5,20
branch avenue,huntington,0.125,17
branch avenue,king street old town,0.125,15
branch avenue,largo,0.375,18
branch avenue,metro center,0.125,11
branch avenue,minnesota avenue,0.125,14
branch avenue,morgan boulevard,0.125,17
branch avenue,mount vernon square,0.25,11
branch avenue,navy yard ballpark,0.625,6
branch avenue,naylor road,1.5,2
branch avenue,new carrollton,0.25,18
branch avenue,noma gallaudet u,0.125,13
branch avenue,hyattsville crossing,0.375,18
branch avenue,national airport,0.5,12
branch avenue,rhode island avenue,0.25,14
branch avenue,rockville,0.125,24
branch avenue,shady grove,0.125,25
branch avenue,shaw howard university,0.375,12
branch avenue,silver spring,0.25,18
branch avenue,smithsonian,0.125,9
branch avenue,southern avenue,1.125,3
branch avenue,stadium armory,0.5,13
branch avenue,suitland,2.25,1
branch avenue,takoma,0.25,17
branch avenue,u street,0.75,13
branch avenue,van dorn street,0.125,16
branch avenue,waterfront,0.25,7
branch avenue,west falls church,0.25,17
branch avenue,wheaton,0.25,20
branch avenue,woodley park,0.125,14
brookland cua,addison road,0.125,15
brookland cua,anacostia,1.5,10
brookland cua,ballston-mu,0.125,14
brookland cua,benning road,1.75,13
brookland cua,braddock road,0.125,13
brookland cua,branch avenue,0.5,15
brookland cua,brookland cua,1.625,0
brookland cua,capitol heights,0.875,14
brookland cua,capitol south,0.125,9
brookland cua,cleveland park,0.75,10
brookland cua,college park university of maryland,0.25,4
brookland cua,columbia heights,2.25,3
brookland cua,congress heights,0.625,11
brookland cua,court house,0.25,11
brookland cua,crystal city,0.25,10
brookland cua,deanwood,0.125,14
brookland cua,dunn loring,0.25,17
brookland cua,dupont circle,3.0,8
brookland cua,east falls church,0.125,15
brookland cua,eastern market,0.125,10
brookland cua,eisenhower avenue,0.5,15
brookland cua,farragut north,1.75,7
brookland cua,farragut west,0.375,8
brookland cua,foggy bottom gwu,0.125,9
brookland cua,forest glen,1.5,4
brookland cua,fort totten,6.125,1
brookland cua,gallery place,4.25,5
brookland cua,georgia avenue petworth,0.875,2
brookland cua,glenmont,1.625,6
brookland cua,greenbelt,0.125,5
brookland cua,huntington,0.25,16
brookland cua,judiciary square,0.5,4
brookland cua,king street old town,0.25,14
brookland cua,landover,0.375,16
brookland cua,largo,0.125,17
brookland cua,mcpherson square,0.125,7
brookland cua,metro center,1.5,6
brookland cua,minnesota avenue,0.125,13
brookland cua,mount vernon square,0.125,6
brookland cua,navy yard ballpark,0.25,9
brookland cua,naylor road,0.625,13
brookland cua,new carrollton,0.5,17
brookland cua,noma gallaudet u,3.375,2
brookland cua,pentagon city,0.125,9
brookland cua,potomac avenue,0.125,11
brookland cua,hyattsville crossing,0.875,3
brookland cua,national airport,0.25,11
brookland cua,rhode island avenue,1.375,1
brookland cua,rockville,0.25,19
brookland cua,shady grove,0.375,20
brookland cua,shaw howard university,0.5,5
brookland cua,silver spring,7.25,3
brookland cua,southern avenue,0.375,12
brookland cua,stadium armory,0.5,12
brookland cua,suitland,0.25,14
brookland cua,takoma,2.625,2
brookland cua,tenleytown au,0.375,12
brookland cua,u street,1.75,4
brookland cua,union station,5.0,3
brookland cua,van ness udc,0.625,11
brookland cua,vienna,0.25,18
brookland cua,waterfront,0.25,8
brookland cua,west hyattsville,0.625,2
brookland cua,wheaton,0.75,5
brookland cua,north bethesda,0.125,17
brookland cua,woodley park,1.75,9
capitol heights,addison road,2.25,1
capitol heights,anacostia,0.625,10
capitol heights,benning road,1.0,1
capitol heights,branch avenue,0.25,15
capitol heights,capitol heights,0.75,0
capitol heights,clarendon,0.125,12
capitol heights,college park university of maryland,0.125,18
capitol heights,columbia heights,0.375,13
capitol heights,congress heights,1.25,11
capitol heights,crystal city,0.375,10
capitol heights,east falls church,0.25,15
capitol heights,eastern market,0.125,4
capitol heights,farragut west,0.125,12
capitol heights,federal center sw,0.125,6
capitol heights,federal triangle,0.25,9
capitol heights,foggy bottom gwu,0.125,11
capitol heights,fort totten,0.25,15
capitol heights,friendship heights,0.125,17
capitol heights,gallery place,0.75,9
capitol heights,georgia avenue petworth,0.75,14
capitol heights,glenmont,0.125,20
capitol heights,huntington,0.125,16
capitol heights,largo,1.75,3
capitol heights,mcpherson square,0.25,11
capitol heights,metro center,0.125,10
capitol heights,minnesota avenue,0.125,3
capitol heights,morgan boulevard,0.25,2
capitol heights,navy yard ballpark,0.125,9
capitol heights,naylor road,0.25,13
capitol heights,new carrollton,0.25,7
capitol heights,pentagon,0.125,8
capitol heights,potomac avenue,0.5,3
capitol heights,national airport,0.25,11
capitol heights,shaw howard university,0.375,11
capitol heights,silver spring,0.125,17
capitol heights,smithsonian,0.125,8
capitol heights,southern avenue,0.375,12
capitol heights,stadium armory,1.375,2
capitol heights,suitland,0.125,14
capitol heights,union station,0.25,11
capitol heights,vienna,0.125,18
capitol heights,waterfront,0.375,8
capitol heights,wheaton,0.25,19
capitol heights,woodley park,0.125,13
capitol south,addison road,0.5,6
capitol south,ballston-mu,4.25,9
capitol south,benning road,0.5,4
capitol south,bethesda,0.25,13
capitol south,braddock road,1.25,8
capitol south,brookland cua,0.375,9
capitol south,capitol heights,0.5,5
capitol south,capitol south,1.75,0
capitol south,cheverly,1.0,6
capitol south,clarendon,1.875,7
capitol south,cleveland park,0.625,9
capitol south,columbia heights,3.375,8
capitol south,court house,3.125,6
capitol south,crystal city,1.5,5
capitol south,deanwood,0.375,5
capitol south,dunn loring,1.0,12
capitol south,dupont circle,1.125,7
capitol south,east falls church,1.875,10
capitol south,eastern market,0.5,1
capitol south,eisenhower avenue,0.625,10
capitol south,farragut west,0.75,7
capitol south,federal center sw,0.375,1
capitol south,foggy bottom gwu,4.625,6
capitol south,fort totten,1.375,10
capitol south,franconia springfield,1.125,11
capitol south,friendship heights,0.125,12
capitol south,gallery place,0.5,4
capitol south,georgia avenue petworth,1.125,9
capitol south,glenmont,0.375,15
capitol south,greenbelt,0.625,14
capitol south,grosvenor strathmore,0.625,15
capitol south,huntington,0.625,11
capitol south,king street old town,1.375,9
capitol south,l'enfant plaza,0.875,2
capitol south,largo,0.375,8
capitol south,mcpherson square,2.75,6
capitol south,metro center,7.625,5
capitol south,minnesota avenue,0.125,4
capitol south,morgan boulevard,0.125,7
capitol south,mount vernon square,0.875,5
capitol south,navy yard ballpark,0.25,4
capitol south,new carrollton,3.375,8
capitol south,noma gallaudet u,0.125,7
capitol south,pentagon,0.625,3
capitol south,pentagon city,3.625,4
capitol south,potomac avenue,0.5,2
capitol south,hyattsville crossing,0.25,12
capitol south,national airport,0.5,6
capitol south,rosslyn,6.0,5
capitol south,shady grove,1.0,19
capitol south,shaw howard university,0.25,6
capitol south,silver spring,1.0,12
capitol south,stadium armory,0.75,3
capitol south,suitland,0.125,9
capitol south,takoma,0.25,11
capitol south,tenleytown au,2.25,11
capitol south,twinbrook,0.5,17
capitol south,u street,1.125,7
capitol south,van dorn street,0.625,10
capitol south,vienna,1.375,13
capitol south,virginia square gmu,1.375,8
capitol south,waterfront,0.375,3
capitol south,west falls church,1.0,11
capitol south,west hyattsville,0.25,11
capitol south,wheaton,0.375,14
capitol south,north bethesda,0.25,16
capitol south,woodley park,1.375,8
cheverly,anacostia,0.125,11
cheverly,branch avenue,0.125,16
cheverly,capitol heights,0.125,5
cheverly,cheverly,0.25,0
cheverly,clarendon,0.125,13
cheverly,columbia heights,0.125,14
cheverly,congress heights,0.25,12
cheverly,deanwood,0.125,1
cheverly,dunn loring,0.125,18
cheverly,eastern market,0.5,5
cheverly,fort totten,0.625,16
cheverly,gallery place,0.125,10
cheverly,georgia avenue petworth,0.625,15
cheverly,mcpherson square,0.25,12
cheverly,minnesota avenue,0.25,2
cheverly,naylor road,0.125,14
cheverly,new carrollton,0.25,2
cheverly,rosslyn,0.125,11
cheverly,southern avenue,0.125,13
cheverly,stadium armory,0.375,3
cheverly,suitland,0.375,15
cheverly,takoma,0.25,17
cheverly,u street,0.125,13
cheverly,woodley park,0.125,14
clarendon,addison road,0.125,13
clarendon,archives,0.5,6
clarendon,ballston-mu,47.875,2
clarendon,bethesda,2.5,14
clarendon,braddock road,3.375,9
clarendon,branch avenue,0.75,13
clarendon,brookland cua,1.125,12
clarendon,capitol south,3.5,7
clarendon,cheverly,1.25,13
clarendon,clarendon,22.125,0
clarendon,cleveland park,1.375,10
clarendon,college park university of maryland,0.5,16
clarendon,columbia heights,4.375,11
clarendon,congress heights,0.25,9
clarendon,court house,2.625,1
clarendon,crystal city,9.75,6
clarendon,dunn loring,42.625,5
clarendon,dupont circle,3.5,8
clarendon,east falls church,51.5,3
clarendon,eastern market,5.5,8
clarendon,eisenhower avenue,1.875,11
clarendon,farragut north,0.375,7
clarendon,farragut west,11.125,4
clarendon,federal center sw,0.875,6
clarendon,foggy bottom gwu,13.125,3
clarendon,fort totten,1.875,13
clarendon,franconia springfield,10.875,12
clarendon,friendship heights,1.375,13
clarendon,gallery place,0.875,7
clarendon,georgia avenue petworth,1.125,12
clarendon,glenmont,1.125,18
clarendon,greenbelt,0.875,17
clarendon,grosvenor strathmore,1.375,16
clarendon,huntington,6.875,12
clarendon,judiciary square,0.25,8
clarendon,king street old town,8.625,10
clarendon,l'enfant plaza,1.875,5
clarendon,landover,0.125,14
clarendon,largo,0.5,15
clarendon,mcpherson square,14.125,5
clarendon,medical center,0.625,15
clarendon,metro center,8.0,6
clarendon,minnesota avenue,0.375,11
clarendon,morgan boulevard,0.25,14
clarendon,mount vernon square,1.0,8
clarendon,navy yard ballpark,0.625,7
clarendon,naylor road,0.5,11
clarendon,new carrollton,2.625,15
clarendon,noma gallaudet u,1.5,10
clarendon,pentagon,0.875,4
clarendon,pentagon city,8.75,5
clarendon,potomac avenue,1.625,9
clarendon,hyattsville crossing,0.375,15
clarendon,rhode island avenue,0.625,11
clarendon,rockville,1.5,19
clarendon,rosslyn,12.625,2
clarendon,shady grove,1.375,20
clarendon,shaw howard university,1.625,9
clarendon,silver spring,2.75,15
clarendon,smithsonian,0.5,6
clarendon,southern avenue,0.875,10
clarendon,stadium armory,0.375,10
clarendon,takoma,1.0,14
clarendon,tenleytown au,1.5,12
clarendon,twinbrook,0.75,18
clarendon,u street,1.5,10
clarendon,union station,2.5,9
clarendon,van dorn street,5.25,11
clarendon,van ness udc,1.875,11
clarendon,vienna,104.5,6
clarendon,virginia square gmu,6.0,1
clarendon,waterfront,1.0,6
clarendon,west falls church,27.125,4
clarendon,west hyattsville,0.375,14
clarendon,wheaton,0.5,17
clarendon,north bethesda,0.875,17
clarendon,woodley park,2.75,9
cleveland park,addison road,0.125,15
cleveland park,anacostia,0.125,10
cleveland park,archives,0.125,6
cleveland park,ballston-mu,0.75,12
cleveland park,benning road,0.25,13
cleveland park,bethesda,5.375,4
cleveland park,branch avenue,0.125,15
cleveland park,brookland cua,0.5,10
cleveland park,capitol south,0.375,9
cleveland park,clarendon,1.125,10
cleveland park,cleveland park,3.875,0
cleveland park,college park university of maryland,0.375,14
cleveland park,columbia heights,0.375,9
cleveland park,congress heights,0.125,11
cleveland park,court house,1.0,9
cleveland park,crystal city,0.625,10
cleveland park,dunn loring,0.25,15
cleveland park,dupont circle,8.25,2
cleveland park,eastern market,1.125,10
cleveland park,eisenhower avenue,0.375,15
cleveland park,farragut north,3.375,3
cleveland park,foggy bottom gwu,0.75,7
cleveland park,forest glen,2.25,14
cleveland park,fort totten,2.25,11
cleveland park,franconia springfield,0.125,16
cleveland park,friendship heights,3.125,3
cleveland park,gallery place,2.25,5
cleveland park,georgia avenue petworth,0.375,10
cleveland park,glenmont,0.75,16
cleveland park,greenbelt,0.25,15
cleveland park,grosvenor strathmore,8.25,6
cleveland park,huntington,0.375,16
cleveland park,judiciary square,0.5,6
cleveland park,king street old town,0.25,14
cleveland park,largo,0.125,17
cleveland park,medical center,0.375,5
cleveland park,metro center,0.5,4
cleveland park,minnesota avenue,0.25,13
cleveland park,mount vernon square,0.25,6
cleveland park,naylor road,0.125,13
cleveland park,new carrollton,0.875,17
cleveland park,noma gallaudet u,1.625,8
cleveland park,pentagon city,1.375,9
cleveland park,potomac avenue,0.25,11
cleveland park,hyattsville crossing,0.25,13
cleveland park,rhode island avenue,1.0,9
cleveland park,rockville,2.75,9
cleveland park,rosslyn,1.25,8
cleveland park,shady grove,3.5,10
cleveland park,shaw howard university,0.25,7
cleveland park,silver spring,2.125,13
cleveland park,stadium armory,0.25,12
cleveland park,suitland,1.25,14
cleveland park,takoma,1.625,12
cleveland park,tenleytown au,2.0,2
cleveland park,twinbrook,3.625,8
cleveland park,u street,0.125,8
cleveland park,union station,3.75,7
